.START
..device	value	footprint	quantity	refdes
472-3KV	4.7nF	disk_cap_5mm_flat.fp	2	C1 C3
472-3KV	4.7nF	disk_cap_5mm_flat_flip.fp	2	C2 C4
B5819WS	.9V .5W	SOD-323N.lht	2	D5 D6
CL21B105KBFNFNE	1 uF	chip_2012_0805_N.fp	1	C10
CL31A106MBHNNNE	10 uF	chip_3216_1206_N.fp	2	C6 C11
CS1-HVT-EPC19-03	xfmr	xfmr_epc19_10.fp	1	T1
DMN4060SVT	unknown	TSOT-26N.lht	2	Q11 Q12
M20F	2KV	DIOM_SMAF_N.lht	4	D1 D2 D3 D4
NTR5198NL	unknown	SOT23-3N.lht	2	Q1 Q2
NTZD3152PT1G	unknown	SOT563-6-most.fp	1	U1
R_200_1%_2013	200	RESC2013N.lht	2	R14 R26
R_22.0_1%_1608	22	RESC1608N.lht	8	R17 R18 R20 R21 R22 R23 R24 R25
R_3.40k_1%_1608	3.40k	RESC1608N.lht	2	R10 R11
R_4.7R_1%_1608	4.70K	RESC1608N.lht	2	R15 R16
R_9.10k_1%_1608	9.10K	RESC1608N.lht	2	R30 R31
RC1206FR-07475KL	475K	RESC3216N.lht	8	R1 R2 R3 R4 R5 R6 R7 R8
Res_1.78k_1%_1608	1.78k	RESC1608N.lht	2	R12 R13
terminal	connect	spring_coin_contact.fp	2	J1 J2
TZC3Z060A110	6pF	CAP_VAR3040N.lht	1	C16
TZC3Z300A110	30pF	CAP_VAR3040N.lht	1	C15
UUX1E221MNL1GS	220 uF	cap_10mm_alum_smt.fp	2	C7 C8
zif_connector	connect	ffc_zif_20_1.25.lht	1	J3
zif_connector	unknown	unknown	1	J4
.END
