.START
..device	value	footprint	quantity	refdes
AP2120N-3.3TRG1	3.3	SOT23-123.fp	1	U1
AP3012KTR-G1	unknown	SOT23-5.lht	1	U5
CAPACITOR	1 uF	unknown	6	C3FF C4FF C5FF C32 C42 C52
CAPACITOR	20 pF	0805.fp	2	C6 C7
CAPACITOR	4.7 uF	unknown	4	C2 C31 C41 C51
CAPACITOR	9 pF	0805.fp	2	C8 C9
CAPACITOR	unknown	1206.fp	2	C3 C5
CAPACITOR	unknown	unknown	2	C1 C4
COIL	unknown	unknown	4	L1 L31 L41 L51
CRYSTAL	12MHz	1812.fp	1	X1
CRYSTAL	32.78	2412.fp	1	X2
G5111T11UF	unknown	SOT23-5.lht	1	U4
JUMPER	unknown	unknown	3	J3 J4 J5
MF-CAP-0603-0.1uF	0.1 uF	chip_1608_0603_N.fp	1	C10
MF-CAP-0603-1uF	1 uF	chip_1608_0603_N.fp	2	C11 C12
microUSB_AB_antek	unknown	microUSB_AB_1.fp	1	J2
RESISTOR	0	0805_HV.fp	3	R33 R43 R53
RESISTOR	100K	unknown	1	R5
RESISTOR	160 k	0805_HV.fp	3	R32 R42 R52
RESISTOR	2.2 M	0805_HV.fp	3	R31 R41 R51
RESISTOR	22	0805_HV.fp	2	R6 R7
RESISTOR	open	0805_HV.fp	3	R34 R44 R54
Schottky	unknown	unknown	3	D31 D41 D51
stm32f401cb	unknown	UFQFPN48.fp	1	U2
SWITCH_PUSHBUTTON_NO	unknown	unknown	2	S1 S2
TPS61040DBVR	unknown	SOT23-5.lht	1	U3
zif_connector	unknown	ffc_zif_20.fp	1	J1
.END
