.START
..device	value	footprint	quantity	refdes
2013M R 1.5 k 1%	1.680R	RESC2013N.lht	1	R20
2013M R 22 1%	22	RESC1608N.lht	1	R29
AP2120N-3.3TRG1	3.3	SOT23-123.fp	1	U1
AP3012KTR-G1	IC	SOT23-5.lht	1	U5
B5819WS	9Apulse .5W	SOD-323N.lht	3	D31 D41 D51
BATTERY	unknown	unknown	1	B1
BC857B	semicon	SOT23-3N.lht	3	Q31 Q41 Q51
CAPACITOR	4.7 uF	CAPC1608N.lht	1	C29
CAPACITOR	4.7uF	1206.fp	1	C90
CAPACITOR	4.7uF	CAPC1608N.lht	1	C21
CAPACITOR	7 pF	0805.fp	2	C25 C26
CAPACITOR	9 pF	0805.fp	2	C23 C24
CAPACITOR	unknown	1206.fp	1	C20
CAPACITOR	unknown	CAPC1608N.lht	3	C22 C27 C28
CL10A475MO8NNNC	10 uF	CAPC3216N.lht	4	C31 C41 C44 C51
CL10A475MO8NNNC	4.7uF	RESC1608N.lht	1	C62
CL10B104JO8NNNC	0.1 uF	CAPC1608N.lht	1	C61
CL21B105KBFNFNE	1 uF	CAPC2013N.lht	3	C32 C42 C52
CL21B105KBFNFNE	3.3pF	CAPC1608N.lht	1	C33
CRYSTAL	32.78kHz	1812.fp	1	X2
FA-20H	unknown	XTALCC2520.lht	1	X1
G5111T11UF	IC	SOT23-5.lht	1	U4
HEADER10	conn	2x5hdr_1.27.fp	1	J3
JUMPER_SOLDER	conn	jump-solder1.lht	4	J31 J41 J42 J52
JUMPER_SOLDER	conn	jump-solder2.lht	1	J51
MF-CAP-0603-0.1uF	0.1 uF	chip_1608_0603_N.fp	1	C10
MF-CAP-0603-1uF	1 uF	chip_1608_0603_N.fp	2	C11 C12
microUSB_B_2leg	conn	microUSB_B_2.lht	1	J4
microUSB_C	conn	microUSB_C.lht	1	J5
MLCC_8.2pF_50V	8.2pF	CAPC1608N.lht	1	C43
MLZ2012N100LT000	10uH	INDC2013N.lht	1	L20
NRH2410T100MN	10 uH	INDC2424N.lht	1	L31
NRS2012T4R7MGJ	4.7 uH	INDC2020N.lht	3	L41 L51 L61
R_0R_1%_1608	0R0	RESC1608N.lht	1	R63
R_1.78k_1%_1608	1.78k	RESC1608N.lht	2	R9 R33
R_1.8k_1%_1608	1.8k	RESC1608N.lht	1	R64
R_100k_5%_1608	100K	RESC1608N.lht	1	R24
R_15_1%_1608	15	RESC1608N.lht	3	R6 R7 R8
R_169K_1%_1608	169k	RESC1608N.lht	1	R42
R_180K_1%_1608	180k	RESC1608N.lht	5	R32 R35 R45 R52 R55
R_200_1%_2013	200	RESC2013N.lht	3	R33 R43 R53
R_22.0_1%_1608	22	RESC1608N.lht	1	R22
R_22_1%_1608	22	RESC1608N.lht	3	R30 R31 R32
R_2M2_1%_1608	2M4	RESC1608N.lht	2	R31 R51
R_2M4_1%_1608	2M4	RESC1608N.lht	1	R41
R_7.5K_1%_1608	7.5k	RESC1608N.lht	3	R34 R44 R54
R_8.87k_1%_1608	8.87k	RESC1608N.lht	3	R3 R4 R5
STM32F401CE	IC	unknown	1	U2
SWITCH_PUSHBUTTON_NO	unknown	unknown	2	S21 SW22
SWITCH_PUSHBUTTON_NO_4mm	unknown	unknown	1	SW23
TP5000	IC	QFN16-min	1	U6
TPS61040DBVR	IC	SOT23-5.lht	1	U3
TSM650P02CX	unknown	SOT23-3N.lht	3	Q1 Q2 Q3
zif_connector	conn	ffc_zif_20_1.25.lht	2	J1 J2
.END
