.START
..device	value	footprint	quantity	refdes
06033C104KAT2A	0.1 uF	CAPC1608N.lht	9	C4 C6 C7 C8 C12 C23 C102 C103 C104
06033C104KAT2A	0.1 uF 25V	CAPC1608N.lht	1	C61
AO3407A	PFET	SOT23-3N.lht	6	Q1 Q2 Q4 Q5 Q7 Q8
B5819WS	9Apulse .5W	SOD-323N.lht	1	D31
BC807-40L	BJT PNP	SOT323N.lht	1	Q31
BC817W	BJT NPN	SOT323N.lht	3	Q3 Q6 Q9
BC857BDW1T1	unknown	SOT363M.lht	1	U8
BXIDM03-05-01-P001-L/T-P-F	conn	hdr_mini_1.25_2x5.lht	1	JC
CC1206KFX5R8BB106	10 uF	CAPC3216N.lht	1	C31
CL10A105KA5LNNC	1 uF	CAPC1608N.lht	6	C5 C17 C18 C21 C22 C32
CL10A475MO8NNNC	4.7uF	CAPC1608N.lht	5	C9 C10 C11 C62 C101
CL21B105KBFNFNE	3.3pF	CAPC1608N.lht	1	C33
ELMCUSB5SMT_WP	conn	USB_AB_micro_4leg_WR.lht	2	JD JUSB
ESD11B5.0ST5G	5.0V	DIOM_DSN2.lht	4	VS1 VS2 VS3 VS4
JUMPER_SOLDER	layout-shape	jump-solder1.lht	3	J21 J31 J32
LED 0805	GRN LED	DIOC2013N.lht	1	D12
LED-0805	GRN LED	DIOC2013N.lht	1	D11
LED-0805	YEL LED	DIOC2013N.lht	1	D13
MLCC_12pF_50V	12 pF	CAPC1608N.lht	2	C13 C14
MLCC_7pF_50V	7 pF	CAPC1608N.lht	2	C15 C16
MLZ2012N100LT000	10uH	INDC2013N.lht	1	L10
MUN5232DW1T1G	BRT NPN	SOT363M.lht	1	U5
NRH2410T100MN	10 uH	INDC2424N.lht	1	L31
NRS2012T4R7MGJ	4.7 uH	INDC2020N.lht	1	L61
Q13FC1350000200	32.78k	XTAL_3215.lht	1	X2
Q24FA20H0012200	16.0M	XTAL_FA20H.lht	1	X1
R_0R22_1%_1608	.22	RESC1608N.lht	1	R65
R_1.0k_1%_1608	1.0k	RESC1608N.lht	2	R20 R21
R_1.80k_1%_1608	1.80k	RESC1608N.lht	9	R9 R64 R104 R106 R109 R110 R118 R122 R129
R_1.8k_1%_1608	1.80K	RESC1608N.lht	2	R37 R39
R_133_1%_2013	133	RESC2013N.lht	2	R17 R18
R_180K_1%_1608	180k	RESC1608N.lht	9	R14 R32 R35 R101 R102 R120 R121 R126 R127
R_1M0_1%_1608	1M0	RESC1608N.lht	1	R31
R_1M3_1%_1608	1M3	RESC1608N.lht	1	R36
R_22.0_1%_1608	22.0	RESC1608N.lht	4	R6 R7 R8 R119
R_62k_1%_1608	62.0k	RESC1608N.lht	1	R63
R_7.50k_1%_1608	7.50k	RESC1608N.lht	13	R33 R34 R38 R103 R105 R108 R111 R112 R113 R114 R115 R123 R128
Res thick 033R 1% 1/8W 2013	33.0	RESC2013N.lht	1	R124
SSM3K15AFS 	NFET	SOT416N.lht	1	Q32
STM32F401CE	IC	UFQFPN48-F401CE.lht	1	U1
SWITCH_PB_NO_4MM	N.O.	SWITCH_4mm.lht	3	SW11 SW22 SW23
terminal-layout	layout	term-pad-3x4.lht	6	JB6 JB7 JE JF JG JH
TLV70231DBVR	3V1	SOT23-5N.lht	1	U2
TP5000	IC	QFN16_4040N.lht	1	U6
TPS61040DBVR	IC	SOT23-5.lht	1	U3
zif_connector	conn	ffc_zif_20_1.25.lht	2	JA JB
.END
