.START
..device	value	footprint	quantity	refdes
B5819WS	9Apulse .5W	SOD-323N.lht	2	D31 D41
BC857BWT1G	semicon	SOT323N.lht	4	Q31 Q32 Q41 Q42
CC1206KFX5R8BB106	10 uF	CAPC3216N.lht	3	C31 C41 C44
CL10A105KA5LNNC	1 uF	CAPC1608N.lht	2	C32 C42
CL21B105KBFNFNE	3.3pF	CAPC1608N.lht	1	C33
G5111T11UF	IC	SOT23-5.lht	1	U4
JUMPER_SOLDER	layout-shape	jump-solder1.lht	4	J31 J32 J41 J42
MLCC_8.2pF_50V	8.2pF	CAPC1608N.lht	1	C43
NRH2410T100MN	10 uH	INDC2424N.lht	1	L31
NRS2012T4R7MGJ	4.7 uH	INDC2020N.lht	1	L41
R_180K_1%_1608	180k	RESC1608N.lht	4	R32 R35 R42 R45
R_2M4_1%_1608	2M4	RESC1608N.lht	2	R31 R41
R_4.7R_1%_1608	4.70K	RESC1608N.lht	2	R37 R47
R_7.50k_1%_1608	7.50k	RESC1608N.lht	4	R33 R34 R43 R44
TPS61040DBVR	IC	SOT23-5.lht	1	U3
.END
