.START
..device	value	footprint	quantity	refdes
472-3KV	4.7nF	disk_cap_5mm_flat.fp	2	C1 C3
472-3KV	4.7nF	disk_cap_5mm_flat_flip.fp	2	C2 C4
BUK98150-55/CUF	NFET	SOT223_NXP.fp	2	Q1 Q2
CL21B105KBFNFNE	1 uF	chip_2012_0805_N.fp	2	C10 C12
CL31B106KBHNNNE	10 uF	chip_3216_1206_N.fp	2	C11 C6
CS1-HVT-EPC19-03	xfmr	xfmr_epc19_10.fp	1	T1
DC-0500	connect	DC-0500.fp	1	J2
MF-RES-0805-220	220	chip_2012_0805_N.fp	3	R12 R13 R14
R3000-TP	3KV	diode_10mm.fp	2	D1 D2
RC0805FR-074K75L	4.75K	chip_2012_0805_N.fp	4	R10 R11 R15 R9
RC1206FR-07475KL	475K	1206_HV.fp	8	R1 R2 R3 R4 R5 R6 R7 R8
terminal	connect	spring_coin_contact.fp	2	CT1 CT2
UUX1E221MNL1GS	220 uF	cap_10mm_alum_smt.fp	3	C7 C8 C9
zif_connector	connect	ffc_zif_20.fp	1	J3
.END
