#Time       v(vin)     i(C2)      v(v2)      v(vout)    i(R3)      i(R2)      pd(R3)     pd(R2)    
 0.         1.5E+3     0.         0.         0.         0.         1.5E-9     0.         1.125E-15 
 500.E-9    1.5E+3     16.E-21    101.6E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 1.E-6      1.5E+3     18.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 1.5E-6     1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 2.E-6      1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 2.5E-6     1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 3.E-6      1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 3.5E-6     1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 4.E-6      1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 4.5E-6     1.5E+3     17.E-21    108.5E-12  0.         0.         1.4998E-9  0.         1.125E-15 
 5.E-6     -1.5E+3    -16.69E-12 -26.241    -417.2E-12 -13.91E-15 -5.6428     0.         15.921E+3 
 5.5E-6    -1.5E+3    -16.66E-12 -24.018    -1.2508E-9 -41.69E-15 -5.1117     0.         13.065E+3 
 6.E-6     -1.5E+3    -16.63E-12 -22.004    -2.083E-9  -69.43E-15 -4.6308     0.         10.722E+3 
 6.5E-6    -1.5E+3    -16.6E-12  -20.179    -2.9138E-9 -97.13E-15 -4.1951     0.         8.7996E+3 
 7.E-6     -1.5E+3    -16.58E-12 -18.524    -3.7433E-9 -124.8E-15 -3.8003     0.         7.221E+3  
 7.5E-6    -1.5E+3    -16.55E-12 -17.023    -4.5713E-9 -152.4E-15 -3.4426     1.E-21     5.9256E+3 
 8.E-6     -1.5E+3    -16.52E-12 -15.663    -5.398E-9  -179.9E-15 -3.1185     1.E-21     4.8626E+3 
 8.5E-6    -1.5E+3    -16.49E-12 -14.43     -6.2234E-9 -207.4E-15 -2.825      1.E-21     3.9903E+3 
 9.E-6     -1.5E+3    -16.47E-12 -13.312    -7.0473E-9 -234.9E-15 -2.5591     2.E-21     3.2744E+3 
 9.5E-6    -1.5E+3    -16.44E-12 -12.299    -7.8699E-9 -262.3E-15 -2.3182     2.E-21     2.687E+3  
 10.E-6     1.5E+3     3.8103     18.566     372.57E-6  12.419E-9  3.8103     4.627E-12  7.2591E+3 
 10.5E-6    1.5E+3     3.1214     188.53     172.83     0.005761   3.1271     0.99568    4.8894E+3 
 11.E-6     1.5E+3     2.5551     328.08     314.74     0.010491   2.5656     3.3021     3.2912E+3 
 11.5E-6    1.5E+3     2.0911     442.3      430.9      0.014363   2.1055     6.1891     2.2165E+3 
 12.E-6     1.5E+3     1.7108     535.76     525.95     0.017532   1.7284     9.2207     1.4936E+3 
 12.5E-6    1.5E+3     1.3992     612.2      603.7      0.020123   1.4193     12.148     1.0073E+3 
 13.E-6     1.5E+3     1.1438     674.7      667.27     0.022242   1.1661     14.842     679.87    
